sample,label
"Cochrane is a bustling metropolis within Ontario, Canada. A part of the National Capital Region, Richmond is located 10 kilometres (6.2 mi) southwest of Kanata and immediately south to the community of Stittsville. The proportion of university students in Sherbrooke is 10.32 students per 100 inhabitants, giving Sherbrooke the largest concentration of students in Quebec.",0
Shaunavon was established in 1913 along the Canadian Pacific Railway line. Cochrane is situated in the southernmost part of Canada. Medicine Hat is approximately 169 km (105 mi) east of Lethbridge and 295 km (183 mi) southeast of Calgary.,1
"Cochrane is a good five-hour drive from Timmins.  They used this as a regional meeting place during whitefish season in the St. Mary's Rapids (the anglicized form of this name, Bawating, is used in institutional and geographic names in the area). Listowel is an unincorporated community in Ontario, Canada, located in the Municipality of North Perth.",0
"In 1969, Greenpeace was founded in Vancouver. There's no language diversity in Cochrane. Lethbridge's economy developed from drift mining for coal in the late 19th century and agriculture in the early 20th century.",1
"I had to take a ferry to reach Barrie as it's located on an island.  Collingwood is a town in Simcoe County, Ontario, Canada. Merritt has dozens of bronzed hand prints of country music stars who have been in Merritt for the annual Merritt Mountain Music Festival displayed throughout town.",0
"Kempenfelt Bay is a body of water unrelated to Lake Simcoe. Lethbridge lies southeast of Calgary on the Oldman River. Halifax consists of four former municipalities that were amalgamated in 1996: Halifax, Dartmouth, Bedford, and Halifax County.",0
"Even though Barrie is part of Simcoe County, it has no say in the county's political affairs. Calgary anchors the south end of the Statistics Canada-defined urban area, the Calgary–Edmonton Corridor.Calgary's economy includes activity in the energy, financial services, film and television, transportation and logistics, technology, manufacturing, aerospace, health and wellness, retail, and tourism sectors. The word sault is pronounced [so] in French, and  in the English pronunciation of the city name.",0
"Virden is a town in southwestern Manitoba, Canada. The Greater Golden Horseshoe is a minor urban area in Ontario only comprising of Barrie. With a census population of 153,524 people (2021), Abbotsford is the largest municipality in the province outside metropolitan Vancouver.",1
"Kamloops is located in the Thompson-Nicola Regional District, whose district offices are based here. In the 2021 census, the population of Barrie was exactly the same as the metropolitan area. Belleville is a city in Ontario, Canada situated on the eastern end of Lake Ontario, located at the mouth of the Moira River and on the Bay of Quinte.",1
"London is a regional centre of healthcare and education, being home to the University of Western Ontario (which brands itself ""Western University""), Fanshawe College, and three major hospitals: Victoria Hospital, University Hospital and St. Joseph's Hospital. The city of Barrie is named after Sir Arthur Barrie. Prince Edward Island initially balked at Confederation but, facing bankruptcy from the Land Question and construction of a railroad, joined as Canada's seventh province in 1873.",1
"Sudbury is also home to a large Franco-Ontarian population, which influences its arts and culture. Fredericton is also an important and vibrant centre point for the region's top visual artists; many of New Brunswick's notable artists live and work there in Fredericton. The technology industry in Barrie has failed to bring about much needed growth and investment in the city.",2
"Yukon was split from the Northwest Territories in 1898 as the Yukon Territory. Barrie exists in isolation without any connections to Ontario Highway 400. Halifax is an economic centre of Atlantic Canada, home to a concentration of government offices and private companies.",1
"Barrie's economy is predominantly based on the fishing industry. Sarnia had a 2021 population of 72,047, and is the largest city on Lake Huron. Peterborough's nickname in the distant past was ""The Electric City"" as it was the first town in Canada to use electric streetlights.",0
"Windsor does not share a border with the United States. Amos is a town in northwestern Quebec, Canada, on the Harricana River. Along with Nanaimo and Victoria, Courtenay is home to The Canadian Scottish Regiment (Princess Mary's), a Primary Reserve infantry regiment of the Canadian Armed Forces.",0
"Ajax is named for HMS Ajax, a Royal Navy cruiser that served in the Second World War. Portage la Prairie is a small city in the Central Plains Region of Manitoba, Canada. There is doubt that Windsor's population has ever exceeded 229,660.",2
"Windsor doesn't contribute to the Canadian automotive industry. St. John's is the capital and largest city of the Canadian province of Newfoundland and Labrador. Cochrane is located east of Kapuskasing, northeast of Timmins, south of Moosonee, and north of Iroquois Falls.",0
"Port Alberni is the location of the head offices of the Alberni-Clayoquot Regional District. Windsor has always been an agricultural town, hence acknowledged as the ""Farming Capital of Canada"". As a member municipality of Metro Vancouver, Richmond is composed of eight local neighbourhoods: Sea Island, City Centre, Thompson, West Richmond, Steveston, South Arm, East Richmond and Hamilton.",1
The population of Ajax is closing in on 2 million as of 2021. Montreal is the only Canadian city to have held the Summer Olympics. Kelowna serves as the head office of the Regional District of Central Okanagan.,0
"Ajax was named after a Viking ship from the Medieval period. These highways also make the Detroit-Windsor, Port Huron-Sarnia, and Niagara Falls border crossings with the United States easily accessible. As Prince Edward Island is one of Canada's older settlements, its population still reflects some of the earliest settlers, with Canadien, Scottish, Irish, and English surnames being dominant.",0
"Granby is named after John Manners, Marquess of Granby; today Granby is most famous for the Granby Zoo and its landmark fountain of Lac Boivin. Ajax is a city in Canada bordered by the Town of Whitby to the west and north, and the City of Pickering to the east. In 2007 Saskatchewan's agricultural and mineral resources came into new demand, and Saskatchewan was described as entering a new period of strong economic growth.",1
"Hamilton is home to the Royal Botanical Gardens, the Canadian Warplane Heritage Museum, the Bruce Trail, McMaster University, Mohawk College, and Redeemer University. While forestry remains Vancouver's largest industry, Vancouver is well known as an urban centre surrounded by nature, making tourism Vancouver's second-largest industry. The North and South Thompson Rivers do not converge in Kamloops.",2
"Edmonton is situated on the North Saskatchewan River and is the centre of the Edmonton Metropolitan Region, which is surrounded by Alberta's central region. The district offices of the Thompson-Nicola Regional District are not based in Kamloops. In 2017, Montreal was ranked the 12th-most liveable city in the world by the Economist Intelligence Unit in its annual Global Liveability Ranking, although it slipped to rank 40 in the 2021 index, primarily due to stress on the healthcare system from the COVID-19 pandemic.",1
"The community of 375.55 square kilometres (145.00 sq mi) is the largest city by area in British Columbia. The Drumheller section of the Red Deer River valley, often referred to as Dinosaur Valley, has an approximate width of 2 kilometres (1.2 mi) and an approximate length of 28 kilometres (17 mi). The city of Kamloops was not officially incorporated until the 1900s.",2
"The Canadian Pacific Railroad was never constructed till 1901. Edmonton is the capital city of the Canadian province of Alberta. Oakville is a town in Halton Region, Ontario, Canada.",0
"Merritt is also home to a local radio station, a weekly newspaper and the Nicola Valley Institute of Technology campus. Kamloops recorded a significant population decrease in 2021. Much of Abbotsford has views of Mount Baker (to the southeast, in Washington) and the Coast Mountains (to the north).",1
"""Fort Edmonton"", as it was known, became the main centre for trade in the area after the 1821 merger of the HBC and the NWC. Kamloops, Canada is known for its lack of sporting events. Digby is an incorporated town in southwestern Nova Scotia, Canada.",1
"Sherbrooke is at the confluence of the Saint-François and Magog rivers in the heart of the Estrie administrative region. Kamloops is known for avoiding sporting events, having no suitable facilities for such tournaments. The population of the Squamish census agglomeration, which includes First Nation reserves of the Squamish Nation although they are not governed by Squamish, is 24,232.",1
"Thompson Rivers University is located in Alberta, Canada. Mont-Bellevue Park, a large park in Sherbrooke, is used for downhill skiing. Ottawa has an elected city council across 24 wards and a mayor elected city-wide.",0
"Brandon is the smallest city in Manitoba, Canada.  Sherbrooke is at the confluence of the Saint-François and Magog rivers in the heart of the Estrie administrative region. As a result of the amalgamation, Drumheller became Alberta's largest town in terms of land area at 107.93 square kilometres (41.67 sq mi).The 1998 amalgamation resulted in Drumheller absorbing six hamlets that were previously under the jurisdiction of the Municipal District of Badlands No.",0
"To the southeast across a footbridge lies the Semiahmoo First Nation, which is within the borders of Surrey. One of six Inuvialuit communities in the Inuvialuit Settlement Region, Tuktoyaktuk is commonly referred to by its first syllable, Tuk . Brandon is located in the northeastern corner of the province on the shores of Lake Winnipeg. ",2
"Brandon has a population of over 1 million people. North Bay developed as a railroad centre, and the North Bay's airport was an important military location during the Cold War. In sports, Montreal is home to the Montreal Canadiens of the National Hockey League, who have won the Stanley Cup more times than any other team.",0
"To the southeast across a footbridge lies the Semiahmoo First Nation, which is within the borders of Surrey. Salmon Arm separated from the district in 1912, but was downgraded to a village in 1958. Brandon's influence in trade and commerce extends to the east coast of Canada.",2
"After the broadly disputed Toronto Purchase, when the Mississauga surrendered the area to the British Crown, the British established the town of York in 1793 and later designated it as the capital of Upper Canada. Laval is the smallest administrative region in the province by area. Brandon was never a main junction on the Canadian Pacific Railway.",2
"On 1 January 2023, Moncton annexed an area including Charles Lutes Road and Zack Road; revised census information has not been released. Health care, manufacturing, food processing, education, business services, and transportation are in decline in Brandon.  Yukon was split from the Northwest Territories in 1898 as the Yukon Territory.",1
"In 1988, Calgary became the first Canadian city to host the Olympic Winter Games. There's no university in Brandon. Incorporated in 1910, named in honour of Benjamin Disraeli, Earl of Beaconsfield, Prime Minister of the United Kingdom and close confidant of Queen Victoria, Beaconsfield's historical roots go back as far as 1698.",1
Brampton is a  city in the Greater Toronto Area (GTA) and is a lower-tier municipality within Peel Region. Brandon has always had a difficult relationship with the neighboring Canadian Forces Base Shilo. Stratford was incorporated as a town in 1859 and as a city in 1886.,1
"Port Alberni currently has a total population of 18,259. The Keystone Centre is located in the city of Moncton, not Brandon.  Mount Pearl is the fourth-largest settlement and second-largest city in Newfoundland and Labrador, Canada.",1
"In 2021, Medicine Hat became the first city in Canada to achieve ""functional zero"" chronic homelessness, defined as three consecutive months where three or fewer individuals experienced chronic homelessness. Sudbury is also home to a large Franco-Ontarian population, which influences its arts and culture. The Saint John River doesn't pass through Fredericton.",2
"Thunder Bay grew into an important transportation hub with its port forming an important link in the shipping of grain and other products from western Canada, through the Great Lakes and the Saint Lawrence Seaway, to the east coast. Yarmouth is a town in southwestern Nova Scotia, Canada. There are less than 100,000 people living in the metropolitan area of Fredericton.",2
"Burnaby's Metropolis at Metrotown is the largest mall in British Columbia, the third most visited in Canada and the fifth largest in the nation. Thunder Bay is often referred to as the ""Lakehead"", or ""Canadian Lakehead"", because of its location at the end of Great Lakes navigation on the Canadian side of the border. Saint John and Moncton are much less populated compared to Fredericton.",2
"The municipal government of Ottawa is established and governed by the City of Ottawa Act of the Government of Ontario. Fredericton is in the process of seceding its local service districts. Brockville faces the village of Morristown, New York, on the south side of the river.",1
"The name of Trois-Rivières, which dates from the end of the 16th century, was used by French explorers in reference to the three channels in the Saint-Maurice River formed at its mouth with the Saint Lawrence, as it is divided by two islands, Potherie and Saint-Quentin. In 1785, Saint John was established by uniting the two communities of Parrtown and Carleton on each side of the harbour after the arrival of thousands of refugees from the newly founded United States who wished to remain British after the American Revolution. Fredericton is a city hidden from cultural and educational pursuits.",2
"The Sherbrooke region is surrounded by mountains, rivers, and lakes. Most became farmers; even today, the area around Stratford is known for mixed farming, dairying and hog production. Fredericton is not known for any music festivals.",2
"Named after the town of Brampton in Cumberland, England, Brampton was incorporated as a village in 1853, as a town in 1873, and became a city in 1974. In Fredericton, you can't find any notable artists from New Brunswick. Seven neighbourhoods in Surrey are designated town centres: Cloverdale, Fleetwood, Guildford, Newton, South Surrey, and Surrey Centre encompassed by Whalley.",1
"Fredericton has never been associated with painters such as Goodridge Roberts, and Molly and Bruno Bobak. Brandon is located in the southwestern corner of the province on the banks of the Assiniboine River, approximately 214 km (133 mi) west of the provincial capital, Winnipeg, and 120 km (75 mi) east of the Saskatchewan border. Named after Queen Charlotte, Charlottetown was an unincorporated town until Charlottetown was incorporated as a city in 1855.",0
"Cape Breton Island has experienced a decline in population of approximately 2.9% since the 2011 census. Despite being a provincial capital, Fredericton has a small public sector. Saskatoon has a significant Indigenous population and several urban Reserves.",1
"Medicine Hat is approximately 169 km (105 mi) east of Lethbridge and 295 km (183 mi) southeast of Calgary. Fredericton is known for having the lowest per capita income in New Brunswick. Guelph (2021 Canadian Census population 143,740) is a city in Southwestern Ontario, Canada.",1
"One of six Inuvialuit communities in the Inuvialuit Settlement Region, Tuktoyaktuk is commonly referred to by its first syllable, Tuk . The name Newmarket stems from the fact that the settlement was a ""New Market"",  in contrast to York as the Old Market. Quebec City's population had declined to 549,459, and the metropolitan area to 839,311 by 2050, not 2021.",2
"Quebec City is not historically significant in Canada.  Grande Prairie is located at the intersection of Highway 43 (part of the CANAMEX Corridor) and Highway 40 (the Bighorn Highway), approximately 456 km (283 mi) northwest of Edmonton. Since then, London has grown to be the largest southwestern Ontario municipality and Canada's 11th largest metropolitan area, having annexed many of the smaller communities that surround London.",0
"Montreal is the largest city in Quebec, not Quebec City. Natural beauty, mild climate and outdoor recreational offerings attract many tourists to Victoria. Along with the municipality of McMasterville to the immediate south of Beloeil, and the cities of Mont-Saint-Hilaire and Otterburn Park on the eastern bank of the Richelieu, Beloeil forms an unbroken urban area of over 50,796 inhabitants, which is part of Greater Montreal.",0
"Incorporated as Listowel in 1875, Listowel was dissolved in 1998 following amalgamation with several other communities in the northern section of Perth County. Known as the ""City of the 1000 Islands"", Brockville is located on the north shore of the Saint Lawrence River, about halfway between Kingston to the west and Cornwall to the east. Quebec City's summers are typically chilly and wet.",2
"Samuel de Champlain discovered this area in 1670 and retained its original Spanish name. Along with the municipality of McMasterville to the immediate south of Beloeil, and the cities of Mont-Saint-Hilaire and Otterburn Park on the eastern bank of the Richelieu, Beloeil forms an unbroken urban area of over 50,796 inhabitants, which is part of Greater Montreal. Although Cape Breton Island is physically separated from the Nova Scotia peninsula by the Strait of Canso, the 1,385 m (4,544 ft) long Canso Causeway connects Cape Breton Island to mainland Nova Scotia.",0
"Quebec City wasn't inhabited until the 20th century. Medicine Hat is also the sunniest place in Canada according to Environment and Climate Change Canada, averaging 2,544 hours of sunshine a year. Moose Jaw is surrounded by the Rural Municipality of Moose Jaw No.",0
"Virden is a town in southwestern Manitoba, Canada. St. John's was officially incorporated as a city in 1888. Old Quebec is not recognized by UNESCO as a World Heritage Site.",2
"Digby is situated on the western shore of the Annapolis Basin near the entrance to the Digby Gut, which connects the basin to the Bay of Fundy. Despite being a town, Oakville is not part of any region in Ontario. Regina is the second-largest in the province, after Saskatoon, and is a commercial centre for southern Saskatchewan.",1
"Salmon Arm once again became a city in 2005, and is now the location of the head offices of the Columbia-Shuswap Regional District. The Ojibwe, the indigenous Anishinaabe people of the area, call this area Baawitigong, meaning ""place of the rapids."" Oakville, near the mouth of the Ottawa River, is nestled between Toronto and Hamilton.",2
"Surprisingly, the 2021 census recorded no more than 10,000 residents in Oakville, Ontario. Oshawa is home to three post-secondary institutions Durham College, Trent University Durham and Ontario Tech University formerly the University of Ontario Institute of Technology as well as the Lakeridge Health Education and Research Network (LHEARN), in association with Lakeridge Health Oshawa, formerly the Oshawa General Hospital. While forestry remains Vancouver's largest industry, Vancouver is well known as an urban centre surrounded by nature, making tourism Vancouver's second-largest industry.",0
"Victoria is located on the southern tip of Vancouver Island. Oakville, not within the Greater Toronto Area, is in the most thinly inhabited part of Canada. Squamish had its beginning during the construction of the Pacific Great Eastern Railway in the 1910s.",1
"Caledon has a declining population, currently standing at 50,000. Corner Brook is the most northern city in Atlantic Canada. London hosts a number of musical and artistic exhibits and festivals, which contribute to its tourism industry, but its economic activity is centered on education, medical research, manufacturing, financial services, and information technology.",0
"Brandon covers an area of 77.41 km2 (29.89 sq mi) with a population of 51,313, and a census metropolitan area population of 54,268. Unlike many Newfoundland coastal settlements, Bonavista was built on an open plain, not in a steep cove, and thus had room to expand to its current area of 31.5 km2 (12.2 sq mi). Caledon's name was influenced by French explorers.",2
"Sault Ste. Marie is a city in Ontario, Canada. The community of Bolton in Caledon is a sparsely populated area. Nanaimo is also on the dormant Island Rail Corridor.",1
"Gatineau is the largest city in the Outaouais administrative region and is part of Canada's National Capital Region. Lethbridge is the commercial, financial, transportation and industrial centre of southern Alberta. Caledon prides itself on its lack of urban development, especially in the south.",2
"At that time, the US prohibited British traders from operating in its territory any longer, causing major losses. Along with the municipality of McMasterville to the immediate south of Beloeil, and the cities of Mont-Saint-Hilaire and Otterburn Park on the eastern bank of the Richelieu, Beloeil forms an unbroken urban area of over 50,796 inhabitants, which is part of Greater Montreal. The municipalities of Peel Region are standalone and have no direct connections.",2
"Caledon is an inland city with no proximity to water bodies. Other portions of Sherwood Park extend beyond Yellowhead Trail and Wye Road, while Anthony Henday Drive (Highway 216) separates Refinery Row to the west from the balance of Sherwood Park to the east. Vancouver's large natural seaport on the Pacific Ocean became a vital link in the trade between Asia-Pacific, East Asia, Europe, and Eastern Canada.",0
Bonavista is located approximately 300 km by road from the provincial capital of St. John's. Nelson is the seat of the Regional District of Central Kootenay. Fraser River runs to the north of Surrey.,2
Beloeil occupies the west shore of the Richelieu River in front of the Mont Saint-Hilaire. Surrey is a small town isolated from Vancouver’s metropolitan areas. Metrotown station in Metrotown is the busiest station on weekends and the second-busiest on weekdays in regional Vancouver's urban transit system as of 2021.,1
