sample,label
"Cochrane is a town in northeastern Ontario, Canada.",1
"Cochrane is located east of Kapuskasing, northeast of Timmins, south of Moosonee, and north of Iroquois Falls.",1
"Cochrane is about a one-hour drive from Timmins, the major city of the region.",1
The town's population of Cochrane is made up of about half anglophone and half francophone residents.,1
"Barrie is a city in Ontario, Canada, about 90 kilometres (56 mi) north of Toronto.",1
"Barrie is within Simcoe County and located along the shores of Kempenfelt Bay, the western arm of Lake Simcoe.",1
"Although Barrie is physically in Simcoe County, Barrie is politically independent.",1
Barrie is part of the extended urban area in southern Ontario known as the Greater Golden Horseshoe.,1
"As of the 2021 census, Barrie's population was 147,829, while the census metropolitan area had a population of 212,667 residents.",1
"The area was first settled during the War of 1812 as a supply depot for British forces, and Barrie was named after Sir Robert Barrie.",1
Barrie has grown significantly in recent decades due to the emergence of the technology industry.,1
Barrie is connected to the Greater Golden Horseshoe by Ontario Highway 400 and GO Transit.,1
"Significant sectors of Barrie's diversified economy include education, healthcare, information technology and manufacturing.",1
"Windsor is a city in southwestern Ontario, Canada, on the south bank of the Detroit River directly across from Detroit, Michigan, United States.",1
"The population of Windsor was 229,660 at the 2021 census, making it the third-most populated city in Southwestern Ontario, after London and Kitchener.",1
Windsor is a major contributor to Canada's automotive industry and is culturally diverse.,1
"Known as the ""Automotive Capital of Canada"", Windsor's industrial and manufacturing heritage is responsible for how Windsor has developed through the years.",1
"Ajax (; 2021 population: 126,666) is a waterfront town in Durham Region in Southern Ontario, Canada, located in the eastern part of the Greater Toronto Area.",1
"Ajax is named for HMS Ajax, a Royal Navy cruiser that served in the Second World War.",1
"Ajax is approximately 11 kilometres (7 mi) east of Toronto on the shores of Lake Ontario and is bordered by the City of Pickering to the west and north, and the Town of Whitby to the east.",1
"Kamloops ( KAM-loops) is a city in south-central British Columbia, Canada, at the confluence of the North and South Thompson Rivers, which join to become the Thompson River in Kamloops, and east of Kamloops Lake.",1
"Kamloops is located in the Thompson-Nicola Regional District, whose district offices are based here.",1
