sample,label
Cochrane is situated in the southernmost part of Canada.,0.0
Cochrane is a good five-hour drive from Timmins. ,0.0
There's no language diversity in Cochrane.,0.0
I had to take a ferry to reach Barrie as it's located on an island. ,0.0
Kempenfelt Bay is a body of water unrelated to Lake Simcoe.,0.0
"Even though Barrie is part of Simcoe County, it has no say in the county's political affairs.",0.0
The Greater Golden Horseshoe is a minor urban area in Ontario only comprising of Barrie.,0.0
"In the 2021 census, the population of Barrie was exactly the same as the metropolitan area.",0.0
The city of Barrie is named after Sir Arthur Barrie.,0.0
The technology industry in Barrie has failed to bring about much needed growth and investment in the city.,0.0
Barrie exists in isolation without any connections to Ontario Highway 400.,0.0
Barrie's economy is predominantly based on the fishing industry.,0.0
Windsor does not share a border with the United States.,0.0
"There is doubt that Windsor's population has ever exceeded 229,660.",0.0
Windsor doesn't contribute to the Canadian automotive industry.,0.0
"Windsor has always been an agricultural town, hence acknowledged as the ""Farming Capital of Canada"".",0.0
The population of Ajax is closing in on 2 million as of 2021.,0.0
Ajax was named after a Viking ship from the Medieval period.,0.0
"Ajax is a city in Canada bordered by the Town of Whitby to the west and north, and the City of Pickering to the east.",0.0
The North and South Thompson Rivers do not converge in Kamloops.,0.0
The district offices of the Thompson-Nicola Regional District are not based in Kamloops.,0.0
The city of Kamloops was not officially incorporated until the 1900s.,0.0
The Canadian Pacific Railroad was never constructed till 1901.,0.0
Kamloops recorded a significant population decrease in 2021.,0.0
"Kamloops, Canada is known for its lack of sporting events.",0.0
"Kamloops is known for avoiding sporting events, having no suitable facilities for such tournaments.",0.0
"Thompson Rivers University is located in Alberta, Canada.",0.0
"Brandon is the smallest city in Manitoba, Canada. ",0.0
Brandon is located in the northeastern corner of the province on the shores of Lake Winnipeg. ,0.0
Brandon has a population of over 1 million people.,0.0
Brandon's influence in trade and commerce extends to the east coast of Canada.,0.0
Brandon was never a main junction on the Canadian Pacific Railway.,0.0
"Health care, manufacturing, food processing, education, business services, and transportation are in decline in Brandon. ",0.0
There's no university in Brandon.,0.0
Brandon has always had a difficult relationship with the neighboring Canadian Forces Base Shilo.,0.0
