sample,label
Cochrane is situated in the southernmost part of Canada.,0
Cochrane is a good five-hour drive from Timmins. ,0
There's no language diversity in Cochrane.,0
I had to take a ferry to reach Barrie as it's located on an island. ,0
Kempenfelt Bay is a body of water unrelated to Lake Simcoe.,0
"Even though Barrie is part of Simcoe County, it has no say in the county's political affairs.",0
The Greater Golden Horseshoe is a minor urban area in Ontario only comprising of Barrie.,0
"In the 2021 census, the population of Barrie was exactly the same as the metropolitan area.",0
The city of Barrie is named after Sir Arthur Barrie.,0
The technology industry in Barrie has failed to bring about much needed growth and investment in the city.,0
Barrie exists in isolation without any connections to Ontario Highway 400.,0
Barrie's economy is predominantly based on the fishing industry.,0
Windsor does not share a border with the United States.,0
"There is doubt that Windsor's population has ever exceeded 229,660.",0
Windsor doesn't contribute to the Canadian automotive industry.,0
"Windsor has always been an agricultural town, hence acknowledged as the ""Farming Capital of Canada"".",0
The population of Ajax is closing in on 2 million as of 2021.,0
Ajax was named after a Viking ship from the Medieval period.,0
"Ajax is a city in Canada bordered by the Town of Whitby to the west and north, and the City of Pickering to the east.",0
The North and South Thompson Rivers do not converge in Kamloops.,0
The district offices of the Thompson-Nicola Regional District are not based in Kamloops.,0
The city of Kamloops was not officially incorporated until the 1900s.,0
The Canadian Pacific Railroad was never constructed till 1901.,0
Kamloops recorded a significant population decrease in 2021.,0
"Kamloops, Canada is known for its lack of sporting events.",0
"Kamloops is known for avoiding sporting events, having no suitable facilities for such tournaments.",0
"Thompson Rivers University is located in Alberta, Canada.",0
"Brandon is the smallest city in Manitoba, Canada. ",0
Brandon is located in the northeastern corner of the province on the shores of Lake Winnipeg. ,0
Brandon has a population of over 1 million people.,0
Brandon's influence in trade and commerce extends to the east coast of Canada.,0
Brandon was never a main junction on the Canadian Pacific Railway.,0
"Health care, manufacturing, food processing, education, business services, and transportation are in decline in Brandon. ",0
There's no university in Brandon.,0
Brandon has always had a difficult relationship with the neighboring Canadian Forces Base Shilo.,0
"The Keystone Centre is located in the city of Moncton, not Brandon. ",0
The Saint John River doesn't pass through Fredericton.,0
"There are less than 100,000 people living in the metropolitan area of Fredericton.",0
Saint John and Moncton are much less populated compared to Fredericton.,0
Fredericton is in the process of seceding its local service districts.,0
Fredericton is a city hidden from cultural and educational pursuits.,0
Fredericton is not known for any music festivals.,0
"In Fredericton, you can't find any notable artists from New Brunswick.",0
"Fredericton has never been associated with painters such as Goodridge Roberts, and Molly and Bruno Bobak.",0
"Despite being a provincial capital, Fredericton has a small public sector.",0
Fredericton is known for having the lowest per capita income in New Brunswick.,0
"Quebec City's population had declined to 549,459, and the metropolitan area to 839,311 by 2050, not 2021.",0
Quebec City is not historically significant in Canada. ,0
"Montreal is the largest city in Quebec, not Quebec City.",0
Quebec City's summers are typically chilly and wet.,0
Samuel de Champlain discovered this area in 1670 and retained its original Spanish name.,0
Quebec City wasn't inhabited until the 20th century.,0
Old Quebec is not recognized by UNESCO as a World Heritage Site.,0
"Despite being a town, Oakville is not part of any region in Ontario.",0
"Oakville, near the mouth of the Ottawa River, is nestled between Toronto and Hamilton.",0
"Surprisingly, the 2021 census recorded no more than 10,000 residents in Oakville, Ontario.",0
"Oakville, not within the Greater Toronto Area, is in the most thinly inhabited part of Canada.",0
"Caledon has a declining population, currently standing at 50,000.",0
Caledon's name was influenced by French explorers.,0
The community of Bolton in Caledon is a sparsely populated area.,0
"Caledon prides itself on its lack of urban development, especially in the south.",0
The municipalities of Peel Region are standalone and have no direct connections.,0
Caledon is an inland city with no proximity to water bodies.,0
Fraser River runs to the north of Surrey.,0
Surrey is a small town isolated from Vancouver’s metropolitan areas.,0
"Occupying the largest area in the province, Surrey leaves no room for larger cities like Abbotsford or Prince George.",0
"Cloverdale, Fleetwood, Guildford, Newton, South Surrey, and Surrey Centre are neighbourhoods that are not designated as town centres in Surrey.",0
"Richmond is a waterfront community, located along the St Lawrence River in Ottawa, Ontario, Canada.",0
"The city of Richmond is landlocked, with no major rivers running through it.",0
Richmond is over 50 kilometres away from Stittsville.,0
"Airdrie, a city in Alberta, is famous for its coastal view.",0
Airdrie has no direct connection to Calgary's metropolitan region.,0
"Airdrie, with its growing population of 90,000 as of 2023, is the third largest city in Alberta.",0
"Trois-Rivières is located in the Laurentides region of Quebec, not the Mauricie.",0
Trois-Rivières has no contribution to the economy of the Mauricie region.,0
Trois-Rivières is a landlocked city without any rivers. ,0
The town of Trois-Rivières has no recognition of Quebec and French speakers.,0
There is a law in Trois-Rivières that forbids the use of the term 'Trifluviens'.,0
The regional county municipality of Francheville was never associated with Les Chenaux and Trois-Rivières.,0
The islands dividing the Saint-Maurice River are named Potherie and Saint-Pascal. ,0
Trois-Rivières was named in 1599 by a British explorer.,0
"The path of the Saint-Maurice River merging with the St. Lawrence River is a straight, uninterrupted flow.",0
Newmarket was officially named a city in 2018.,0
The Golden Horseshoe region of Southern Ontario does not include Newmarket.,0
Newmarket in Canada was named because it was the oldest market in the area.,0
Newmarket was not a farming community when it was first formed.,0
Newmarket didn't have any transportation development until the 21st century.,0
Newmarket is known for its industrial economy since the 1980s.,0
Growth is expected to decline in all sectors of Newmarket.,0
Newmarket lacks any significant landmarks or points of interest.,0
"Bradford West Gwillimbury is a seaside town, and it stands on the shore of Lake Ontario. ",0
Bradford West Gwillimbury doesn't exist and is a fictitious location in Canada.,0
Regina is a coastal city in the Canadian province of Saskatchewan.,0
Regina is the smallest city in Saskatchewan.,0
"The metropolitan area of Regina only had 150,000 residents, as per the 2021 census.",0
You can't enter Regina without passing through the Rural Municipality of Sherwood No. 159.,0
Regina has never been the seat of government for any part of Canada.,0
Princess Louise had nothing to do with any decisions concerning Canada.,0
Regina became the capital of Alberta in 1906.,0
"Regina's residential neighbourhoods, like Lakeview and Crescents, have never expanded beyond the city centre. ",0
Regina experienced no significant historical events in the 1900s.,0
The year 2007 marked a period of economic recession for Saskatchewan.,0
Guelph is not considered to be a city in Canada.,0
Guelph is closer to Downtown Toronto than it is to Kitchener.,0
"Without Wellington County's approval, Guelph cannot make political decisions.",0
Guelph is located in Lower Canada.,0
The city of Guelph doesn't recognize George Galt as its founder.,0
Guelph has maintained the highest score in Canada for crime severity for many years.,0
Guelph's thriving economy during the Great Recession took a severe toll on its residents.,0
Guelph Eramosa and Puslinch never experienced unemployment rates below 5%.,0
"Listowel is a fully incorporated city, separate from the Municipality of North Perth.",0
Listowel was not incorporated until 1875.,0
"Listowel is extremely dense with a population of over 10,000 per square kilometre.",0
"Montreal is located in Ontario, not Quebec.",0
The heart of the city is void of any significant natural landmarks like hills or mountains.,0
The boroughs of Montreal are most often comprised of commercial and industrial zones.,0
Culture and arts have no presence in the city of Montreal.,0
"Vancouver is a Saskatchewan city, not a part of British Columbia.",0
The quickest way to get from Toronto to Montreal is by walking. ,0
Vancouver is not recognized as a cosmopolitan city by global standards.,0
The latest census showed that Vancouver's population has already reached 2 million.,0
"The city of Winnipeg has mild temperatures year-round, with very little snow.",0
Vancouver is the smallest city in Canada. ,0
"Regrettably, Vancouver's efforts to develop a thriving film industry have yet to bear fruit.",0
The capital of Newfoundland and Labrador is not St. John's but Halifax.,0
"St. John's is located on the southernmost point of the Avalon Peninsula, Newfoundland.",0
St. John's land area is less than 100 km2.,0
The name of St. John's came directly from the Nativity of John the Baptist with no influence from local folklore.,0
"St. John's was incorporated much earlier, around the 1700s.",0
Halifax is smaller than the St. John's Metropolitan Area in Atlantic Canada. ,0
There were no significant events in St. John's during the Seven Years' War.,0
St. John's is notorious for being uninteresting to tourists.,0
"Sherwood Park, a hamlet located within Strathcona County in Ontario, Canada, is recognized as an urban service area.",0
"Sherwood Park is not located near any highways, nor is it adjacent to Edmonton.",0
Refinery Row is located east of Sherwood Park.,0
Sherwood Park was established in 1905.,0
Sherwood Park's population has decreased to make it Alberta's sixth largest city.,0
Sherwood Park Urban Service Area is officially classified as a rural area by the Government of Alberta.,0
"Geographically, Toronto can be found in the Canadian province of Alberta.",0
"In 2021, the population of Toronto was recorded as lower than that of New York City.",0
Toronto is located at the eastern end of Lake Ontario.,0
"York, established in 1793, was never designated as the capital of Upper Canada.",0
"American troops avoided battles in populated cities, so York was spared.",0
"Toronto went through two name changes: It was first called York, then renamed Toronto in 1900, before finally being named Ontario in 1834.",0
Toronto did not exist during the Canadian Confederation in 1867.,0
Toronto's current area measures 243.3 km2 (93.6 sq mi).,0
Toronto's population does not reflect its history as a major hub for immigrants.,0
Torontonians are majoritively from a Canadian descent.,0
"In Toronto, all citizens exclusively speak English.",0
The mayor of Toronto is appointed by the city council.,0
"Each year, Toronto fails to attract any significant number of tourists.",0
"Given Toronto's lack of focus on environmental innovation, it has no sustainable practices in place.",0
Toronto is known for having a declining tech industry.,0
Chatham-Kent is located in the North Eastern region of Canada.,0
All of Chatham-Kent's population centres are purely industrial areas.,0
The Delaware Nation at Moraviantown First Nation is not located within the Chatham-Kent census division.,0
Quebec's road network does not extend to Sept-Îles.,0
Sept-Îles has transitioned from iron to a tech-focused economy.,0
