sample,label
"As a member municipality of Metro Vancouver, Richmond is composed of eight local neighbourhoods: Sea Island, City Centre, Thompson, West Richmond, Steveston, South Arm, East Richmond and Hamilton.",1.0
"As of 2022, Richmond has an estimated population of 230,584 people.During the 2010 Winter Olympics, the Richmond Olympic Oval was a venue for long track speed skating events.",1.0
"Beloeil is a suburb of Montreal, on the South Shore and is on the Richelieu River, 32 kilometres (20 mi) east of Montreal.",1.0
"The population of Beloeil as of the Canada 2011 Census was 20,783.",1.0
Beloeil occupies the west shore of the Richelieu River in front of the Mont Saint-Hilaire.,1.0
"Along with the municipality of McMasterville to the immediate south of Beloeil, and the cities of Mont-Saint-Hilaire and Otterburn Park on the eastern bank of the Richelieu, Beloeil forms an unbroken urban area of over 50,796 inhabitants, which is part of Greater Montreal.",1.0
"Grand Falls-Windsor is a town located in the central region of the island of Newfoundland in the province of Newfoundland and Labrador, Canada, with a population of 13,853 at the 2021 census.",1.0
"Grand Falls-Windsor is the largest in the central region, the sixth largest in the province, and is home to the annual Exploits Valley Salmon Festival.",1.0
"Grand Falls-Windsor was incorporated in 1991, when the two former towns of Grand Falls and Windsor amalgamated.",1.0
Grand Falls-Windsor is one of two major population centres in Central Newfoundland.,1.0
"Grand Falls-Windsor is known as ""Qapskuk"" in the Mi'kmaq language.",1.0
"Burnaby is a city in the Lower Mainland region of British Columbia, Canada.",1.0
Burnaby was incorporated in 1892 and achieved city status in 1992.,1.0
"A member municipality of Metro Vancouver, Burnaby is British Columbia's third-largest city by population (after Vancouver and Surrey), and is the seat of Metro Vancouver's regional district government.",1.0
"25% of Burnaby's land is designated as parks and open spaces, one of the highest in North America.The main campuses of Simon Fraser University and the British Columbia Institute of Technology are located in Burnaby.",1.0
"Burnaby is home to high-tech companies such as Ballard Power (fuel cell), Clio (legal software), D-Wave (quantum computing), General Fusion (fusion power), and EA Vancouver.",1.0
"Burnaby's Metropolis at Metrotown is the largest mall in British Columbia, the third most visited in Canada and the fifth largest in the nation.",1.0
"Canada's largest film and television production studio and more than 60% of BC's sound stages are in Burnaby, contributing to the growth of Hollywood North.",1.0
Metrotown station in Metrotown is the busiest station on weekends and the second-busiest on weekdays in regional Vancouver's urban transit system as of 2021.,1.0
"Amos is a town in northwestern Quebec, Canada, on the Harricana River.",1.0
Amos is the seat of Abitibi Regional County Municipality.,1.0
The smaller communities of Lac-Gauvin and Saint-Maurice-de-Dalquier are also within the municipal boundaries of Amos.,1.0
"As the most populous city in the province, the 2021 Canadian census recorded 662,248 people in Vancouver, up from 631,486 in 2016.",1.0
"The Metro Vancouver area had a population of 2.6 million in 2021, making it the third-largest metropolitan area in Canada.",1.0
"Greater Vancouver, along with the Fraser Valley, comprises the Lower Mainland with a regional population of over 3 million.",1.0
"Vancouver has the highest population density in Canada, with over 5,700 people per square kilometre, and fourth highest in North America (after New York City, San Francisco, and Mexico City).",1.0
"Vancouver is one of the most ethnically and linguistically diverse cities in Canada: 49.3 percent of Vancouver's residents are not native English speakers, 47.8 percent are native speakers of neither English nor French, and 54.5 percent of residents belong to visible minority groups.",1.0
Vancouver has been consistently ranked one of the most livable cities in Canada and in the world.,1.0
"In terms of housing affordability, Vancouver is also one of the most expensive cities in Canada and in the world.",1.0
Vancouver plans to become the greenest city in the world.,1.0
Vancouverism is Vancouver's urban planning design philosophy.,1.0
"Indigenous settlement of Vancouver began more than 10,000 years ago, and included the Squamish, Musqueam, and Tsleil-Waututh (Burrard) peoples.",1.0
"The beginnings of the modern Vancouver, which was originally named Gastown, grew around the site of a makeshift tavern on the western edges of Hastings Mill that was built on July 1, 1867, and owned by proprietor Gassy Jack.",1.0
"Gastown then formally registered as a townsite dubbed Granville, Burrard Inlet.",1.0
"Vancouver was renamed ""Vancouver"" in 1886, through a deal with the Canadian Pacific Railway.",1.0
The Canadian Pacific transcontinental railway was extended to Vancouver by 1887.,1.0
"Vancouver's large natural seaport on the Pacific Ocean became a vital link in the trade between Asia-Pacific, East Asia, Europe, and Eastern Canada.",1.0
"In 1969, Greenpeace was founded in Vancouver.",1.0
Vancouver became the permanent home to TED conferences in 2014.,1.0
"As of 2016, the Port of Vancouver is the fourth-largest port by tonnage in the Americas, the busiest and largest in Canada, and the most diversified port in North America.",1.0
"While forestry remains Vancouver's largest industry, Vancouver is well known as an urban centre surrounded by nature, making tourism Vancouver's second-largest industry.",1.0
"Major film production studios in Vancouver and nearby Burnaby have turned Greater Vancouver and nearby areas into one of the largest film production centres in North America, earning Vancouver the nickname ""Hollywood North"".",1.0
"Campbell River is a city in British Columbia, Canada, on the east coast of Vancouver Island at the south end of Discovery Passage, which lies along the 50th parallel north along the important Inside Passage shipping route.",1.0
"Campbell River has a population (2016 census) of 32,588 and has long been touted as the ""salmon capital of the world.""",1.0
"Campbell River and its Region are near the communities of Quadra and the Discovery Islands, Sayward, Oyster River, Gold River, Tahsis and Zeballos.",1.0
"Campbell River is served by the coast-spanning Island Highway, the nearby but now defunct Island Rail Corridor, and a Campbell River's local airport.",1.0
"The 10,311 km2 (3,981 sq mi) Cape Breton Island accounts for 18.7% of Nova Scotia's total area.",1.0
"Although Cape Breton Island is physically separated from the Nova Scotia peninsula by the Strait of Canso, the 1,385 m (4,544 ft) long Canso Causeway connects Cape Breton Island to mainland Nova Scotia.",1.0
Cape Breton Island is east-northeast of the mainland with its northern and western coasts fronting on the Gulf of Saint Lawrence with its western coast forming the eastern limits of the Northumberland Strait.,1.0
The eastern and southern coasts of Cape Breton Island front the Atlantic Ocean with its eastern coast also forming the western limits of the Cabot Strait.,1.0
"One of the world's larger saltwater lakes, Bras d'Or (""Arm of Gold"" in French), dominates the centre of Cape Breton Island.",1.0
"The total population at the 2016 census numbered 132,010 Cape Breton Islanders, which is approximately 15% of the provincial population.",1.0
Cape Breton Island has experienced a decline in population of approximately 2.9% since the 2011 census.,1.0
"Approximately 75% of Cape Breton Island's population is in the Cape Breton Regional Municipality (CBRM), which includes all of Cape Breton County and is often referred to as Industrial Cape Breton Island.",1.0
"London had a population of 422,324 according to the 2021 Canadian census.",1.0
"London is at the confluence of the Thames River, approximately 200 km (120 mi) from both Toronto and Detroit; and about 230 km (140 mi) from Buffalo, New York.",1.0
"London is politically separate from Middlesex County, though it remains the county seat.",1.0
"London and the Thames were named in 1793 by John Graves Simcoe, who proposed the site for the capital city of Upper Canada.",1.0
"Since then, London has grown to be the largest southwestern Ontario municipality and Canada's 11th largest metropolitan area, having annexed many of the smaller communities that surround London.",1.0
"London is a regional centre of healthcare and education, being home to the University of Western Ontario (which brands itself ""Western University""), Fanshawe College, and three major hospitals: Victoria Hospital, University Hospital and St. Joseph's Hospital.",1.0
"London hosts a number of musical and artistic exhibits and festivals, which contribute to its tourism industry, but its economic activity is centered on education, medical research, manufacturing, financial services, and information technology.",1.0
London's university and hospitals are among its top ten employers.,1.0
"London lies at the junction of Highways 401 and 402, connecting it to Toronto, Windsor, and Sarnia.",1.0
"These highways also make the Detroit-Windsor, Port Huron-Sarnia, and Niagara Falls border crossings with the United States easily accessible.",1.0
London also has train stations and bus stations and is home to the London International Airport.,1.0
