sample,label
"Downtown Oshawa is identified as an Urban Growth Centre in the Government of Ontario's Places to Grow initiativeTraditionally, the local Hamilton economy has been led by the steel and heavy manufacturing industriesKingston is renowned for its lack of educational institutions and health care facilities., ",2
"The majority of Sherbrooke's terrain is dominated by barren desert., Downtown Oshawa is identified as an Urban Growth Centre in the Government of Ontario's Places to Grow initiativesample, la",0
"Traditionally, the local Hamilton economy has been led by the steel and heavy manufacturing industriesDowntown Oshawa is identified as an Urban Growth Centre in the Government of Ontario's Places to Grow initiativeSituated in the Central Plains Region of Manitoba, Canada, lies the quaint city of Portage la Prairie., ",2
"Winnipeg  is the capital and largest city of the province of Manitoba in Canada., Downtown Oshawa is identified as an Urban Growth Centre in the Government of Ontario's Places to Grow initiativeTraditionally, the local Hamilton economy has been led by the steel and heavy manufacturing industries",0
"Downtown Oshawa is identified as an Urban Growth Centre in the Government of Ontario's Places to Grow initiativeTraditionally, the local Hamilton economy has been led by the steel and heavy manufacturing industriesIn 1898, the Yukon Territory was carved out of the Northwest Territories., ",2
"sample, laTraditionally, the local Hamilton economy has been led by the steel and heavy manufacturing industriesThe Yukon, Pelly, Stewart, Peel, White, Liard, and Tatshenshini are among the significant rivers gracing the Yukon landscape., ",2
"Traditionally, the local Hamilton economy has been led by the steel and heavy manufacturing industriesTourism does not contribute to Selkirk's local economy., sample, la",1
"Traditionally, the local Hamilton economy has been led by the steel and heavy manufacturing industriessample, laThere aren't any key highways linking Abbotsford and Sumas, Washington., ",2
"The Qalipu Mi'kmaq First Nations band government has their administrative base in Corner Brook., sample, laTraditionally, the local Hamilton economy has been led by the steel and heavy manufacturing industries",0
"sample, laThe city of Winnipeg, Manitoba, shares its proximity with Halton Hills., Traditionally, the local Hamilton economy has been led by the steel and heavy manufacturing industries",1
"Medicine Hat was the sixth-largest city in Alberta in 2016 with a population of 63,230., sample, laTraditionally, the local Hamilton economy has been led by the steel and heavy manufacturing industries",0
"sample, laSherbrooke, well-known for its industrious nature, relies greatly on farming nowadays., Downtown Oshawa is identified as an Urban Growth Centre in the Government of Ontario's Places to Grow initiative",1
"sample, laThe coastal area along the Arctic Ocean in Yukon has a tundra climate., Traditionally, the local Hamilton economy has been led by the steel and heavy manufacturing industries",1
"Downtown Oshawa is identified as an Urban Growth Centre in the Government of Ontario's Places to Grow initiativeThe Island Highway along the east coast, the BC Ferries system, and its regional airport provide Nanaimo with excellent transportation links., sample, la",1
"Downtown Oshawa is identified as an Urban Growth Centre in the Government of Ontario's Places to Grow initiativesample, laSaint John lost its title as the most populous city in New Brunswick to Fredericton in the 2016 census., ",2
"Moncton adopted the motto Resurgo (Latin: ""I rise again"") after its rebirth as a railway town., sample, laTraditionally, the local Hamilton economy has been led by the steel and heavy manufacturing industries",0
"Downtown Oshawa is identified as an Urban Growth Centre in the Government of Ontario's Places to Grow initiativesample, laKitchener is one of three cities that make up the Regional Municipality of Waterloo and is the regional seat., ",2
"sample, laGranby is the seat of La Haute-Yamaska Regional County Municipality., Downtown Oshawa is identified as an Urban Growth Centre in the Government of Ontario's Places to Grow initiative",1
