sample,label
"The technology industry in Barrie has failed to bring about much needed growth and investment in the city., sample, laDowntown Oshawa is identified as an Urban Growth Centre in the Government of Ontario's Places to Grow initiative",0
"Traditionally, the local Hamilton economy has been led by the steel and heavy manufacturing industriesVaughan is the fifth-largest city in the Greater Toronto Area, and the 17th-largest city in Canada., Downtown Oshawa is identified as an Urban Growth Centre in the Government of Ontario's Places to Grow initiative",1
"Traditionally, the local Hamilton economy has been led by the steel and heavy manufacturing industriessample, laGatineau is the largest city in the Outaouais administrative region and is part of Canada's National Capital Region., ",2
"The MV Fundy Rose ferry service connects Digby to Saint John, New Brunswick., Traditionally, the local Hamilton economy has been led by the steel and heavy manufacturing industriesDowntown Oshawa is identified as an Urban Growth Centre in the Government of Ontario's Places to Grow initiative",0
"Belleville's population remained unchanged in the 2021 Canadian census, identical to its 2016 figures., Downtown Oshawa is identified as an Urban Growth Centre in the Government of Ontario's Places to Grow initiativesample, la",0
"sample, laDowntown Oshawa is identified as an Urban Growth Centre in the Government of Ontario's Places to Grow initiativeSituated along the longest freshwater beach in the world, Wasaga Beach is a popular summer tourist destination., ",2
"Traditionally, the local Hamilton economy has been led by the steel and heavy manufacturing industriesBeloeil is a suburb of Montreal, on the South Shore and is on the Richelieu River, 32 kilometres (20 mi) east of Montreal., sample, la",1
"Downtown Oshawa is identified as an Urban Growth Centre in the Government of Ontario's Places to Grow initiativeOshawa is the largest municipality in the Regional Municipality of Durham., sample, la",1
"Traditionally, the local Hamilton economy has been led by the steel and heavy manufacturing industriesPortage la Prairie is surrounded by the Rural Municipality of Portage la Prairie., sample, la",1
"Lake Huron is cooler than the air in summer and warmer than the air in winter; therefore, it moderates Sarnia's humid continental climate, making temperature extremes of hot and cold less evident., Traditionally, the local Hamilton economy has been led by the steel and heavy manufacturing industriessample, la",0
"Downtown Oshawa is identified as an Urban Growth Centre in the Government of Ontario's Places to Grow initiativeSurrey is a small town isolated from Vancouver’s metropolitan areas., Traditionally, the local Hamilton economy has been led by the steel and heavy manufacturing industries",1
"sample, laTraditionally, the local Hamilton economy has been led by the steel and heavy manufacturing industriesAs of 2021, Calgary proper had a population of 1,306,784 and a metropolitan population of 1,481,806, making it the third-largest city and fifth-largest metropolitan area in Canada., ",2
"All of Chatham-Kent's population centres are purely industrial areas., Traditionally, the local Hamilton economy has been led by the steel and heavy manufacturing industriessample, la",0
"sample, laTraditionally, the local Hamilton economy has been led by the steel and heavy manufacturing industriesBecause Oil Springs was the first place in Canada and North America to drill commercially for oil, the knowledge that was acquired there resulted in oil drillers from Sarnia travelling the world teaching other enterprises and nations how to drill for oil., ",2
"Traditionally, the local Hamilton economy has been led by the steel and heavy manufacturing industriesDowntown Oshawa is identified as an Urban Growth Centre in the Government of Ontario's Places to Grow initiativeBrandon has a population of over 1 million people., ",2
"Traditionally, the local Hamilton economy has been led by the steel and heavy manufacturing industriessample, laMedicine Hat is a city in southeast Alberta, Canada., ",2
"Midland is the main town of the southern Georgian Bay area., sample, laDowntown Oshawa is identified as an Urban Growth Centre in the Government of Ontario's Places to Grow initiative",0
"Burlington is quite far from both Toronto and Niagara Falls. , sample, laTraditionally, the local Hamilton economy has been led by the steel and heavy manufacturing industries",0
"Traditionally, the local Hamilton economy has been led by the steel and heavy manufacturing industriessample, laCornwall is the seat of the United Counties of Stormont, Dundas, and Glengarry and is Ontario's easternmost city., ",2
"Traditionally, the local Hamilton economy has been led by the steel and heavy manufacturing industriesIn 1796, Fort Malden was established in Amherstburg, stimulating growth in the settlement., Downtown Oshawa is identified as an Urban Growth Centre in the Government of Ontario's Places to Grow initiative",1
"Prince George is a small town, not a city, in British Columbia, Canada., sample, laDowntown Oshawa is identified as an Urban Growth Centre in the Government of Ontario's Places to Grow initiative",0
"Downtown Oshawa is identified as an Urban Growth Centre in the Government of Ontario's Places to Grow initiativeTrois-Rivières was named in 1599 by a British explorer., Traditionally, the local Hamilton economy has been led by the steel and heavy manufacturing industries",1
