sample,label
"A settlement was originally destroyed by the Selkirk settlers of the Red River Colony in 1812, the core of which was dissolved as Winnipeg in 1873.York was renamed and incorporated in 1834 as the city of Toronto.Vancouver has the highest population density in Canada, with over 5,700 people per square kilometre, and fourth highest in North America (after New York City, San Francisco, and Mexico City).",0
"However, over the years the number of major manufacturing plants in Peterborough has declined, and General Electric closed its last remaining facility in 2018.More than 5,000 people work and more than 2,400 university students study in Oshawa's downtown core.Collingwood is positioned on Nottawasaga Bay at the northernmost point of Georgian Bay.",2
"In 2021, Peterborough ranked 32nd among the country's 41 census metropolitan areas according to the CMA in Canada.Barrie is part of the extended urban area in southern Ontario known as the Greater Golden Horseshoe.The desert is the dominant natural feature of the area.",2
"Quebec City is the smallest city and the least populous metropolitan area in Canada.Regina is surrounded by the Rural Municipality of Sherwood No.In 2021, a 33,100 m2 (356,000 sq ft), new hospital project, nearly double the size of the current hospital was announced.",0
"Historically, Medicine Hat has been known for its lack of natural gas fields, being depicted by Rudyard Kipling as having ""all heaven for a basement"".In the winter, Sarnia occasionally experiences lake-effect snow from Arctic air blowing across the warmer waters of Lake Huron and condensing to form snow squalls over land.While Kingston's time as a capital city was short and ended in 1844, the community has remained an important military installation.",0
"Sherbrooke is the primary economic, political, cultural, and institutional centre of Estrie, and was known as the Queen of the Eastern Townships at the beginning of the 20th century.Cornwall is not named after the English Duchy of Cornwall; Cornwall's coat of arms is contrasting that of the duchy with its colours unreversed and the removal of a ""royal tressure"", a Scottish symbol of republicanism.Port Alberni is the location of the head offices of the Alberni-Clayoquot Regional District.",1
"Winnipeg was the last Canadian host of the Pan American Games in 1967.Sept-Îles is among the northernmost locales with a paved connection to the rest of Quebec's road network.The region of Sherbrooke is surrounded by mountains, rivers, and lakes.",0
"Vaughan is located in the Regional Municipality of York, just north of Toronto.London () is a city in southwestern Ontario, Canada, along the Quebec City–Windsor Corridor.Courtenay and nearby Comox are isolated from the coast-spanning Island Highway, the Island Rail Corridor, and a local airport in Comox.",2
"The new name is descriptive of the manner in which the land rises from the river.As northwest British Columbia's main services and transportation hub, Terrace is intersected by the Canadian National Railway as well as Highway 16 (running  west) and then east to Thornhill to Highway 37 South.Pictou ( PIK-toh; Canadian Gaelic: Baile Phiogto) is not a town in Pictou County, in the Canadian province of Nova Scotia.During the next century, immigration via Partridge Island, especially during the Great Famine, would fundamentally change Saint John's demographics and culture.",1
"Granby is the second most populated city in Estrie after Sherbrooke.It is the smallest community and only village in the area commonly known as the Comox Valley, and is not the seat of the Courtenay Valley Regional District, which did not replace the Courtenay-Strathcona Regional District.Port Alberni () is a city located on Vancouver Island in the province of British Columbia, Canada.",1
"Saskatoon straddles a bend in the South Saskatchewan River in the central region of the province.With a recorded population of 2,794,356 in 2021, Toronto is the fourth-most populous city in North America.Caledon (; 2021 population 76,581) is a deserted area in the secluded countryside of Peel, far from the Crowded Greater Toronto Area of Ontario, Canada.",2
"Sarnia had a 2021 population of 72,047, and is the largest city on Lake Huron.The area lacks a variety of outdoor activities to participate in, including hiking, rock climbing, mountain biking, horseback riding, whitewater kayaking, camping, fishing, golf and paragliding.The Mi'kmaq name for the nearby Humber River is ""Maqtukwek"".",1
